text,target
Your parcel is on hold due to unpaid customs fee. Pay now: http://secure-login.xyz,1
"₹2,999 refund pending. Verify to receive money: http://track-delivery-now.in",1
"You have received ₹8,450 cashback. Claim before midnight: http://update-info.online",1
Your KYC is incomplete. Update details now: http://track-delivery-now.in,1
You are eligible for a govt scheme. Verify immediately: http://update-info.online,1
Delivery failed. Please update address and payment here: http://secure-login.xyz,1
Your parcel is on hold due to unpaid customs fee. Pay now: http://verify-kyc.in,1
"Earn ₹2,999/month from home. No skills required. WhatsApp YES to +91-99XXXXXXX",1
"Government subsidy of ₹2,999 credited. Confirm details here: http://bank-secure-check.com",1
"Exclusive offer! Get iPhone at just ₹2,999. Limited stock. Order now!",1
Delivery failed. Please update address and payment here: http://track-delivery-now.in,1
"You are the lucky winner of ₹50,000. Claim now at http://secure-login.xyz",1
Your parcel is on hold due to unpaid customs fee. Pay now: http://update-info.online,1
"🎉 CONGRATS! You have WON ₹4,999 in a lucky draw. Call +91-97XXXXXXX now.",1
"You are the lucky winner of ₹50,000. Claim now at http://verify-kyc.in",1
"₹1,00,000 refund pending. Verify to receive money: http://track-delivery-now.in",1
Your KYC is incomplete. Update details now: http://bank-secure-check.com,1
"You have received ₹8,450 cashback. Claim before midnight: http://verify-kyc.in",1
Suspicious activity detected. Reactivate your account now: http://verify-kyc.in,1
"🎉 CONGRATS! You have WON ₹4,999 in a lucky draw. Call +91-99XXXXXXX now.",1
Part-time job opportunity. Pay registration fee to confirm your seat.,1
URGENT: Your bank account will be BLOCKED today. Verify immediately at http://bank-secure-check.com,1
Your parcel is on hold due to unpaid customs fee. Pay now: http://claim-now.site,1
"Exclusive offer! Get iPhone at just ₹10,000. Limited stock. Order now!",1
You are eligible for a govt scheme. Verify immediately: http://claim-now.site,1
Part-time job opportunity. Pay registration fee to confirm your seat.,1
"You have received ₹1,00,000 cashback. Claim before midnight: http://bank-secure-check.com",1
"You are the lucky winner of ₹8,450. Claim now at http://update-info.online",1
Flash sale! Huge discounts available. Click to buy now: http://verify-kyc.in,1
"You have received ₹10,000 cashback. Claim before midnight: http://update-info.online",1
⚠️ KYC Pending. Update PAN/Aadhaar immediately to avoid service interruption: http://update-info.online,1
You are eligible for a govt scheme. Verify immediately: http://verify-kyc.in,1
Flash sale! Huge discounts available. Click to buy now: http://claim-now.site,1
Your parcel is on hold due to unpaid customs fee. Pay now: http://bank-secure-check.com,1
"Exclusive offer! Get iPhone at just ₹1,00,000. Limited stock. Order now!",1
Flash sale! Huge discounts available. Click to buy now: http://claim-now.site,1
Flash sale! Huge discounts available. Click to buy now: http://secure-login.xyz,1
Delivery failed. Please update address and payment here: http://secure-login.xyz,1
Suspicious activity detected. Reactivate your account now: http://bank-secure-check.com,1
URGENT: Your bank account will be BLOCKED today. Verify immediately at http://claim-now.site,1
"🎉 CONGRATS! You have WON ₹4,999 in a lucky draw. Call +91-97XXXXXXX now.",1
"₹1,00,000 refund pending. Verify to receive money: http://update-info.online",1
"You have received ₹50,000 cashback. Claim before midnight: http://bank-secure-check.com",1
"Government subsidy of ₹1,00,000 credited. Confirm details here: http://update-info.online",1
"Exclusive offer! Get iPhone at just ₹4,999. Limited stock. Order now!",1
Delivery failed. Please update address and payment here: http://bank-secure-check.com,1
"You have received ₹10,000 cashback. Claim before midnight: http://bank-secure-check.com",1
Flash sale! Huge discounts available. Click to buy now: http://verify-kyc.in,1
"You have received ₹50,000 cashback. Claim before midnight: http://secure-login.xyz",1
Flash sale! Huge discounts available. Click to buy now: http://track-delivery-now.in,1
Flash sale! Huge discounts available. Click to buy now: http://verify-kyc.in,1
Your parcel is on hold due to unpaid customs fee. Pay now: http://claim-now.site,1
Your parcel is on hold due to unpaid customs fee. Pay now: http://claim-now.site,1
Flash sale! Huge discounts available. Click to buy now: http://bank-secure-check.com,1
Suspicious activity detected. Reactivate your account now: http://bank-secure-check.com,1
Part-time job opportunity. Pay registration fee to confirm your seat.,1
"₹8,450 refund pending. Verify to receive money: http://verify-kyc.in",1
Your KYC is incomplete. Update details now: http://secure-login.xyz,1
"You have received ₹2,999 cashback. Claim before midnight: http://bank-secure-check.com",1
URGENT: Your bank account will be BLOCKED today. Verify immediately at http://claim-now.site,1
